speaker	lang	ltype	ave_ttr	se	nmessages	to_whom
Quique Alfaro	castellano	L2	0.6782352941176473	0.027051629478451873	17.0	to_L2
Sibutlasi	Spanish-Spain	L2	0.675	0.054999999999999986	2.0	to_L1
Sibutlasi	Spanish-Spain	L2	0.66	0.010000000000000009	2.0	to_L2
Chasint	English - England	L1	0.7949999999999999	0.024999999999999963	2.0	to_L1
Chasint	English - England	L1	0.6430000000000002	0.018252066486688097	30.0	to_L2
PABLO DE SOTO	Spain Spanish	L1	0.6699999999999999	0.030550504633038926	3.0	to_L1
PABLO DE SOTO	Spain Spanish	L1	0.6825	0.020454124574794494	12.0	to_L2
RaulCavazos	Mexican Spanish	L1	0.6837500000000001	0.014630874888399524	8.0	to_L1
RaulCavazos	Mexican Spanish	L1	0.629	0.025925105807134342	10.0	to_L2
didakticos	Español de Costa Rica (y de otras partes también)	L1	0.714	0.03982461550347976	5.0	to_L1
didakticos	Español de Costa Rica (y de otras partes también)	L1	0.695	0.06883555282943062	6.0	to_L2
Bandama	Spanish	L1	0.77	0.0	1.0	to_L1
Bandama	Spanish	L1	0.68	0.0	1.0	to_L2
Señor K	Español chileno	L1	0.7257142857142856	0.013776643944275647	7.0	to_L1
Señor K	Español chileno	L1	0.6857142857142857	0.01711994806253951	14.0	to_L2
torrebruno	español	L1	0.7533333333333333	0.01115546702045435	6.0	to_L1
torrebruno	español	L1	0.7272727272727273	0.014899109741000645	11.0	to_L2
Polizón	Español	L1	0.7381818181818182	0.0161705783231703	11.0	to_L1
Polizón	Español	L1	0.7299999999999999	0.013273676061682243	7.0	to_L2
solysombra	Argentina (Castellano)	L1	0.7	0.019999999999999962	2.0	to_L1
solysombra	Argentina (Castellano)	L1	0.65	0.0	1.0	to_L2
David_3333	Spanish	L1	0.5933333333333334	0.1026861453383291	3.0	to_L1
David_3333	Spanish	L1	0.61	0.0	1.0	to_L2
AllegroModerato	Dutch (Netherlands)	L2	0.57	0.0	1.0	to_L1
AllegroModerato	Dutch (Netherlands)	L2	0.64	0.020000000000000018	2.0	to_L2
